Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
CON__Q7Z3Z0;Q7Z3Z0	543.74	441.33	444.04	658.72	586.84	671	1864.5	56.334	799.74	1459	543.74	441.33	444.04	658.72	586.84	671	1864.5	56.334	799.74	1459
CON__Q7Z794;Q7Z794	897.13	934.24	1435.2	1657.4	2398.6	4668.2	31468	303.52	3183.1	6575.5	897.13	934.24	1435.2	1657.4	2398.6	4668.2	31468	303.52	3183.1	6575.5
CON__Q9NSB4;Q9NSB4	530.96	55.875	158.69	150.53	341.32	292.66	923.41	0	102.95	932.32	530.96	55.875	158.69	150.53	341.32	292.66	923.41	0	102.95	932.32
CON__Q9TRI1	71.9	123.9	132.2	100.35	73.079	324.95	385.25	67.092	132.16	2265.8	71.9	123.9	132.2	100.35	73.079	324.95	385.25	67.092	132.16	2265.8
Q13765;E9PAV3	0	0	81.945	75.074	54.294	163.68	149.45	52.345	73.733	755.99	0	0	81.945	75.074	54.294	163.68	149.45	52.345	73.733	755.99
O00148;Q13838	167.64	133.32	250.02	441.3	202.1	271.84	467.37	260.55	301.74	7096.4	167.64	133.32	250.02	441.3	202.1	271.84	467.37	260.55	301.74	7096.4
O00299	93.224	126.85	149.9	136.9	174.36	167.08	321.33	118	85.657	3975.6	93.224	126.85	149.9	136.9	174.36	167.08	321.33	118	85.657	3975.6
O15020	459.18	663.09	5580.8	1788.3	1690.2	1415.8	22863	360.89	2541.9	6510.2	459.18	663.09	5580.8	1788.3	1690.2	1415.8	22863	360.89	2541.9	6510.2
O15212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43390	192.93	138.28	221.75	253.29	163.4	273.97	583.27	108.05	223.4	3862.4	192.93	138.28	221.75	253.29	163.4	273.97	583.27	108.05	223.4	3862.4
O43707	142.11	242.4	240.54	779.5	241.33	599.5	768.6	206.83	296.97	5117.1	142.11	242.4	240.54	779.5	241.33	599.5	768.6	206.83	296.97	5117.1
O60361;P22392;P15531	211.05	56.818	203.56	335.06	246.9	314.04	580.94	108.41	215.56	5150.6	211.05	56.818	203.56	335.06	246.9	314.04	580.94	108.41	215.56	5150.6
O60506	257.44	335.41	508.71	680	444.25	1043.5	1620.3	311.73	627.73	6945.1	257.44	335.41	508.71	680	444.25	1043.5	1620.3	311.73	627.73	6945.1
Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q99880;Q96A08	1191.4	3414.6	1607.2	2335.3	2316.8	2328.1	4559.3	3411.3	2257.1	103100	1191.4	3414.6	1607.2	2335.3	2316.8	2328.1	4559.3	3411.3	2257.1	103100
O75223	133.9	160.24	286.27	1038.8	235.64	517.3	541.07	104.77	357.08	3257.7	133.9	160.24	286.27	1038.8	235.64	517.3	541.07	104.77	357.08	3257.7
O75390	50.287	141.8	87.853	254.72	123.39	124.86	223.77	0	76.898	636.92	50.287	141.8	87.853	254.72	123.39	124.86	223.77	0	76.898	636.92
O75821	35.101	0	46.836	47.672	28.316	63.701	84.547	0	41.436	722.16	35.101	0	46.836	47.672	28.316	63.701	84.547	0	41.436	722.16
O95478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00338	186.96	178.44	173.57	306.72	177.13	231.93	522.82	114.19	230.49	3673.5	186.96	178.44	173.57	306.72	177.13	231.93	522.82	114.19	230.49	3673.5
P00441	389	437.55	522.46	942.66	655.86	605.39	1203.7	750.72	550.54	20479	389	437.55	522.46	942.66	655.86	605.39	1203.7	750.72	550.54	20479
P00558;P07205	1401.8	1792.1	1634.4	2473.9	1976.4	2957.6	4425.3	1668.8	2340.7	43470	1401.8	1792.1	1634.4	2473.9	1976.4	2957.6	4425.3	1668.8	2340.7	43470
P01040	1186.6	1192.1	2203.9	12278	2596.4	3167.5	3477.6	530.68	1711.2	10877	1186.6	1192.1	2203.9	12278	2596.4	3167.5	3477.6	530.68	1711.2	10877
P04040	240.38	284.36	361	704.2	507.85	619.14	1476.5	384.17	399.61	8026.7	240.38	284.36	361	704.2	507.85	619.14	1476.5	384.17	399.61	8026.7
P04075;P09972;P05062	923.48	1230.6	1484.4	1633	1564	1858.6	5648.1	1081.7	1556.2	29583	923.48	1230.6	1484.4	1633	1564	1858.6	5648.1	1081.7	1556.2	29583
P04259	240.28	230.56	2383.7	623.84	462.79	5339.9	1442.7	250.19	628.83	2582.8	240.28	230.56	2383.7	623.84	462.79	5339.9	1442.7	250.19	628.83	2582.8
P04264;CON__P04264;CON__H-INV:HIT000016045	49515	40083	222670	92243	102850	108830	1088600	19998	180810	326820	49515	40083	222670	92243	102850	108830	1088600	19998	180810	326820
